Date,Company,Price,Daily_Return,Volume_M
2020-05-13,Apple,300.7,-0.363,48.6
2020-05-14,Apple,303.79,1.026,96.1
2020-05-15,Apple,306.75,0.975,115.6
2020-05-18,Apple,309.03,0.744,101.6
2020-05-19,Apple,310.66,0.527,109.9
2020-05-20,Apple,309.29,-0.442,57.3
2020-05-21,Apple,310.3,0.328,37.3
2020-05-22,Apple,311.43,0.365,125.0
2020-05-25,Apple,311.34,-0.029,70.3
2020-05-26,Apple,312.77,0.458,72.5
2020-05-27,Apple,315.54,0.886,119.8
2020-05-28,Apple,322.05,2.062,96.7
2020-05-29,Apple,324.13,0.646,93.7
2020-06-01,Apple,326.34,0.684,145.0
2020-06-02,Apple,327.61,0.388,60.7
2020-06-03,Apple,323.97,-1.111,107.8
2020-06-04,Apple,325.16,0.367,81.7
2020-06-05,Apple,326.48,0.406,88.1
2020-06-08,Apple,334.06,2.323,125.9
2020-06-09,Apple,334.53,0.14,95.2
2020-06-10,Apple,336.22,0.505,96.1
2020-06-11,Apple,336.9,0.202,112.2
2020-06-12,Apple,334.41,-0.737,69.1
2020-06-15,Apple,338.03,1.081,54.8
2020-06-16,Apple,340.5,0.731,48.7
2020-06-17,Apple,342.97,0.726,21.0
2020-06-18,Apple,340.67,-0.671,141.7
2020-06-19,Apple,344.58,1.146,46.9
2020-06-22,Apple,340.66,-1.136,73.4
2020-06-23,Apple,342.06,0.41,71.7
2020-06-24,Apple,347.76,1.666,89.2
2020-06-25,Apple,344.53,-0.929,104.5
2020-06-26,Apple,342.34,-0.634,105.8
2020-06-29,Apple,341.84,-0.146,62.5
2020-06-30,Apple,339.55,-0.671,75.0
2020-07-01,Apple,334.31,-1.544,88.5
2020-07-02,Apple,333.28,-0.307,72.5
2020-07-03,Apple,329.11,-1.251,128.2
2020-07-06,Apple,328.86,-0.077,94.7
2020-07-07,Apple,324.81,-1.229,102.0
2020-07-08,Apple,327.08,0.696,99.9
2020-07-09,Apple,323.12,-1.21,115.2
2020-07-10,Apple,320.25,-0.888,85.4
2020-07-13,Apple,320.16,-0.027,41.1
2020-07-14,Apple,314.75,-1.691,92.0
2020-07-15,Apple,312.92,-0.58,60.5
2020-07-16,Apple,313.67,0.24,64.1
2020-07-17,Apple,307.05,-2.111,97.6
2020-07-20,Apple,304.78,-0.738,117.1
2020-07-21,Apple,302.59,-0.719,80.6
2020-07-22,Apple,301.55,-0.344,89.3
2020-07-23,Apple,295.58,-1.981,131.1
2020-07-24,Apple,289.41,-2.085,87.2
2020-07-27,Apple,287.47,-0.671,158.1
2020-07-28,Apple,284.91,-0.889,97.0
2020-07-29,Apple,282.16,-0.965,27.2
2020-07-30,Apple,279.55,-0.928,102.6
2020-07-31,Apple,274.58,-1.776,91.4
2020-08-03,Apple,271.58,-1.095,118.7
2020-08-04,Apple,268.63,-1.085,100.2
2020-08-05,Apple,263.48,-1.916,75.8
2020-08-06,Apple,263.72,0.091,43.3
2020-08-07,Apple,260.94,-1.054,73.7
2020-08-10,Apple,254.68,-2.4,54.5
2020-08-11,Apple,252.17,-0.983,62.6
2020-08-12,Apple,246.37,-2.303,97.7
2020-08-13,Apple,244.02,-0.952,130.1
2020-08-14,Apple,242.33,-0.693,91.8
2020-08-17,Apple,236.78,-2.288,44.1
2020-08-18,Apple,234.61,-0.919,93.3
2020-08-19,Apple,231.35,-1.388,115.9
2020-08-20,Apple,228.81,-1.099,61.7
2020-08-21,Apple,228.17,-0.278,76.0
2020-08-24,Apple,223.6,-2.005,80.4
2020-08-25,Apple,218.16,-2.434,56.5
2020-08-26,Apple,212.55,-2.57,99.4
2020-08-27,Apple,207.15,-2.542,76.4
2020-08-28,Apple,203.02,-1.993,92.6
2020-08-31,Apple,199.58,-1.692,53.4
2020-09-01,Apple,196.05,-1.77,66.9
2020-09-02,Apple,193.38,-1.361,101.7
2020-09-03,Apple,189.47,-2.025,68.8
2020-09-04,Apple,187.74,-0.912,131.8
2020-09-07,Apple,183.45,-2.285,68.0
2020-09-08,Apple,183.56,0.058,86.7
2020-09-09,Apple,180.58,-1.62,108.0
2020-09-10,Apple,175.54,-2.794,37.4
2020-09-11,Apple,170.32,-2.971,27.2
2020-09-14,Apple,167.31,-1.766,34.2
2020-09-15,Apple,163.43,-2.324,117.9
2020-09-16,Apple,160.83,-1.59,63.4
2020-09-17,Apple,157.97,-1.777,156.7
2020-09-18,Apple,154.5,-2.199,63.1
2020-09-21,Apple,150.18,-2.793,85.5
2020-09-22,Apple,145.23,-3.296,126.3
2020-09-23,Apple,141.68,-2.446,140.2
2020-09-24,Apple,139.7,-1.398,141.8
2020-09-25,Apple,137.08,-1.872,116.3
2020-09-28,Apple,133.0,-2.975,110.7
2020-09-29,Apple,130.58,-1.824,97.8
2020-09-30,Apple,128.48,-1.606,103.4
2020-10-01,Apple,125.21,-2.543,63.5
2020-10-02,Apple,123.12,-1.668,55.5
2020-10-05,Apple,121.06,-1.679,79.9
2020-10-06,Apple,117.97,-2.553,74.9
2020-10-07,Apple,116.43,-1.307,66.4
2020-10-08,Apple,115.17,-1.075,100.9
2020-10-09,Apple,114.5,-0.588,108.7
2020-10-12,Apple,113.88,-0.537,82.7
2020-10-13,Apple,111.17,-2.379,124.3
2020-10-14,Apple,108.99,-1.96,45.7
2020-10-15,Apple,108.19,-0.737,74.2
2020-10-16,Apple,107.48,-0.66,58.5
2020-10-19,Apple,106.85,-0.581,24.0
2020-10-20,Apple,109.19,2.19,77.5
2020-10-21,Apple,108.78,-0.38,76.3
2020-10-22,Apple,108.94,0.15,125.4
2020-10-23,Apple,109.03,0.082,98.9
2020-10-26,Apple,108.94,-0.083,49.3
2020-10-27,Apple,108.09,-0.777,135.6
2020-10-28,Apple,108.26,0.154,116.6
2020-10-29,Apple,107.18,-0.993,97.5
2020-10-30,Apple,106.65,-0.496,73.2
2020-11-02,Apple,105.99,-0.625,51.2
2020-11-03,Apple,105.87,-0.105,68.8
2020-11-04,Apple,107.74,1.763,112.7
2020-11-05,Apple,106.1,-1.523,136.5
2020-11-06,Apple,106.71,0.571,126.3
2020-11-09,Apple,105.42,-1.203,65.3
2020-11-10,Apple,105.17,-0.242,46.4
2020-11-11,Apple,106.29,1.066,84.2
2020-11-12,Apple,106.6,0.292,26.9
2020-11-13,Apple,105.99,-0.573,89.7
2020-11-16,Apple,105.73,-0.239,75.6
2020-11-17,Apple,106.71,0.923,66.0
2020-11-18,Apple,106.53,-0.17,32.2
2020-11-19,Apple,107.2,0.626,95.4
2020-11-20,Apple,107.76,0.522,64.0
2020-11-23,Apple,107.75,-0.006,44.9
2020-11-24,Apple,110.21,2.283,6.2
2020-11-25,Apple,111.4,1.081,79.2
2020-11-26,Apple,110.26,-1.025,133.2
2020-11-27,Apple,111.1,0.761,129.8
2020-11-30,Apple,111.2,0.097,66.3
2020-12-01,Apple,112.68,1.331,61.9
2020-12-02,Apple,112.7,0.018,94.1
2020-12-03,Apple,113.35,0.571,50.0
2020-12-04,Apple,114.57,1.077,89.1
2020-12-07,Apple,116.14,1.373,103.0
2020-12-08,Apple,115.81,-0.286,116.8
2020-12-09,Apple,116.28,0.406,77.0
2020-12-10,Apple,116.62,0.291,73.9
2020-12-11,Apple,116.78,0.143,53.7
2020-12-14,Apple,119.23,2.093,55.2
2020-12-15,Apple,120.39,0.978,73.2
2020-12-16,Apple,119.95,-0.369,91.0
2020-12-17,Apple,121.59,1.369,107.4
2020-12-18,Apple,124.43,2.336,55.9
2020-12-21,Apple,126.21,1.431,124.8
2020-12-22,Apple,125.41,-0.637,71.9
2020-12-23,Apple,125.62,0.169,79.4
2020-12-24,Apple,127.58,1.559,57.6
2020-12-25,Apple,127.51,-0.056,7.3
2020-12-28,Apple,128.58,0.843,106.5
2020-12-29,Apple,129.98,1.083,102.1
2020-12-30,Apple,129.57,-0.312,71.6
2020-12-31,Apple,130.03,0.352,82.0
2021-01-01,Apple,127.16,-2.201,95.5
2021-01-04,Apple,126.55,-0.481,33.1
2021-01-05,Apple,126.69,0.106,64.1
2021-01-06,Apple,125.78,-0.716,103.8
2021-01-07,Apple,127.75,1.57,42.4
2021-01-08,Apple,126.58,-0.915,88.8
2021-01-11,Apple,126.39,-0.152,39.3
2021-01-12,Apple,126.75,0.28,94.0
2021-01-13,Apple,128.41,1.313,78.9
2021-01-14,Apple,127.11,-1.015,31.5
2021-01-15,Apple,128.43,1.042,114.9
2021-01-18,Apple,128.55,0.092,58.0
2021-01-19,Apple,127.62,-0.719,55.7
2021-01-20,Apple,128.15,0.414,86.0
2021-01-21,Apple,128.39,0.184,114.5
2021-01-22,Apple,127.78,-0.473,49.5
2021-01-25,Apple,127.84,0.044,81.9
2021-01-26,Apple,127.41,-0.337,92.9
2021-01-27,Apple,127.46,0.045,100.8
2021-01-28,Apple,128.06,0.469,85.3
2021-01-29,Apple,129.6,1.2,69.0
2021-02-01,Apple,128.2,-1.075,55.2
2021-02-02,Apple,130.27,1.615,82.6
2021-02-03,Apple,128.11,-1.665,47.8
2021-02-04,Apple,127.78,-0.251,7.6
2021-02-05,Apple,128.21,0.33,93.1
2021-02-08,Apple,128.3,0.072,107.1
2021-02-09,Apple,127.45,-0.659,9.1
2021-02-10,Apple,127.02,-0.338,49.7
2021-02-11,Apple,126.29,-0.574,98.6
2021-02-12,Apple,125.46,-0.659,141.7
2021-02-15,Apple,126.07,0.483,80.6
2021-02-16,Apple,126.17,0.081,58.2
2021-02-17,Apple,125.21,-0.762,74.5
2021-02-18,Apple,125.84,0.505,121.2
2021-02-19,Apple,125.87,0.025,60.6
2021-02-22,Apple,126.41,0.426,56.0
2021-02-23,Apple,126.75,0.275,65.5
2021-02-24,Apple,125.63,-0.891,51.4
2021-02-25,Apple,124.77,-0.679,83.7
2021-02-26,Apple,125.23,0.364,128.7
2021-03-01,Apple,125.54,0.253,89.7
2021-03-02,Apple,125.23,-0.252,72.4
2021-03-03,Apple,125.05,-0.14,71.2
2021-03-04,Apple,126.04,0.792,33.1
2021-03-05,Apple,125.16,-0.701,106.5
2021-03-08,Apple,125.42,0.211,77.7
2021-03-09,Apple,124.94,-0.384,74.6
2021-03-10,Apple,124.45,-0.392,175.8
2021-03-11,Apple,125.28,0.668,89.0
2021-03-12,Apple,125.85,0.455,57.4
2021-03-15,Apple,126.42,0.452,67.2
2021-03-16,Apple,127.5,0.856,114.5
2021-03-17,Apple,127.29,-0.166,83.4
2021-03-18,Apple,127.77,0.373,36.9
2021-03-19,Apple,127.24,-0.41,107.6
2021-03-22,Apple,127.38,0.107,60.0
2021-03-23,Apple,127.07,-0.244,136.2
2021-03-24,Apple,127.0,-0.05,112.4
2021-03-25,Apple,127.47,0.363,66.6
2021-03-26,Apple,126.51,-0.751,118.4
2021-03-29,Apple,128.54,1.603,82.0
2021-03-30,Apple,127.42,-0.869,105.6
2021-03-31,Apple,126.12,-1.017,94.5
2021-04-01,Apple,127.25,0.897,54.6
2021-04-02,Apple,128.04,0.62,60.7
2021-04-05,Apple,128.69,0.503,110.9
2021-04-06,Apple,129.36,0.525,70.0
2021-04-07,Apple,129.4,0.028,67.9
2021-04-08,Apple,128.55,-0.661,51.3
2021-04-09,Apple,128.72,0.132,92.7
2021-04-12,Apple,128.13,-0.453,141.9
2021-04-13,Apple,129.27,0.887,48.0
2021-04-14,Apple,129.27,0.001,80.7
2021-04-15,Apple,128.59,-0.525,122.4
2021-04-16,Apple,128.45,-0.109,77.6
2021-04-19,Apple,129.08,0.494,93.6
2021-04-20,Apple,128.73,-0.275,48.1
2021-04-21,Apple,128.13,-0.468,92.8
2021-04-22,Apple,128.64,0.398,74.4
2021-04-23,Apple,129.17,0.411,109.6
2021-04-26,Apple,128.93,-0.179,115.6
2021-04-27,Apple,128.75,-0.139,157.7
2021-04-28,Apple,129.32,0.435,97.4
2021-04-29,Apple,128.16,-0.895,89.8
2021-04-30,Apple,127.06,-0.853,85.8
2021-05-03,Apple,126.69,-0.295,69.4
2021-05-04,Apple,126.84,0.118,90.2
2021-05-05,Apple,127.53,0.547,71.1
2021-05-06,Apple,129.44,1.497,85.1
2021-05-07,Apple,130.74,1.005,119.5
2021-05-10,Apple,131.0,0.193,49.8
2021-05-11,Apple,131.41,0.314,114.2
2021-05-12,Apple,130.79,-0.466,119.5
2021-05-13,Apple,131.22,0.327,76.5
2021-05-14,Apple,131.37,0.116,16.3
2021-05-17,Apple,132.18,0.613,61.8
2021-05-18,Apple,131.78,-0.303,118.9
2021-05-19,Apple,132.81,0.781,79.3
2021-05-20,Apple,134.94,1.606,50.0
2021-05-21,Apple,135.32,0.284,64.9
2021-05-24,Apple,136.27,0.698,105.2
2021-05-25,Apple,137.54,0.934,96.4
2021-05-26,Apple,137.62,0.059,72.8
2021-05-27,Apple,138.4,0.564,69.0
2021-05-28,Apple,138.95,0.396,68.2
2021-05-31,Apple,139.59,0.466,52.3
2021-06-01,Apple,139.27,-0.23,128.5
2021-06-02,Apple,139.84,0.409,70.3
2021-06-03,Apple,140.95,0.791,116.5
2021-06-04,Apple,143.15,1.563,125.6
2021-06-07,Apple,144.82,1.164,109.9
2021-06-08,Apple,147.91,2.134,67.1
2021-06-09,Apple,147.58,-0.225,92.1
2021-06-10,Apple,149.19,1.092,79.3
2021-06-11,Apple,149.98,0.535,52.9
2021-06-14,Apple,153.22,2.16,89.7
2021-06-15,Apple,152.82,-0.263,44.6
2021-06-16,Apple,152.38,-0.29,115.6
2021-06-17,Apple,152.22,-0.101,66.1
2021-06-18,Apple,150.22,-1.315,86.0
2021-06-21,Apple,150.15,-0.048,88.5
2021-06-22,Apple,149.79,-0.238,72.2
2021-06-23,Apple,150.52,0.487,97.6
2021-06-24,Apple,151.48,0.637,65.8
2021-06-25,Apple,154.32,1.876,106.1
2021-06-28,Apple,156.05,1.12,39.6
2021-06-29,Apple,155.87,-0.113,83.8
2021-06-30,Apple,155.29,-0.375,138.2
2021-07-01,Apple,156.43,0.735,50.0
2021-07-02,Apple,155.3,-0.721,59.7
2021-07-05,Apple,158.11,1.809,95.4
2021-07-06,Apple,160.13,1.274,85.4
2021-07-07,Apple,160.03,-0.058,90.5
2021-07-08,Apple,158.35,-1.053,94.7
2021-07-09,Apple,160.56,1.4,99.0
2021-07-12,Apple,160.9,0.21,113.3
2021-07-13,Apple,162.99,1.295,92.3
2021-07-14,Apple,161.39,-0.979,72.8
2021-07-15,Apple,161.08,-0.192,100.2
2021-07-16,Apple,161.54,0.287,137.0
2021-07-19,Apple,162.06,0.316,76.0
2021-07-20,Apple,161.92,-0.086,50.8
2021-07-21,Apple,163.16,0.771,113.2
2021-07-22,Apple,162.21,-0.587,76.4
2021-07-23,Apple,162.44,0.147,14.8
2021-07-26,Apple,163.02,0.354,105.4
2021-07-27,Apple,164.1,0.666,63.9
2021-07-28,Apple,165.45,0.821,77.3
2021-07-29,Apple,164.37,-0.653,90.0
2021-07-30,Apple,162.76,-0.982,85.7
2021-08-02,Apple,164.82,1.267,101.3
2021-08-03,Apple,165.65,0.5,66.9
2021-08-04,Apple,165.04,-0.368,95.4
2021-08-05,Apple,167.47,1.478,72.2
2021-08-06,Apple,168.0,0.316,102.2
2021-08-09,Apple,169.97,1.169,98.5
2021-08-10,Apple,170.43,0.27,51.9
2021-08-11,Apple,173.63,1.878,112.6
2021-08-12,Apple,176.45,1.626,63.9
2021-08-13,Apple,176.46,0.007,104.2
2021-08-16,Apple,178.2,0.985,91.0
2021-08-17,Apple,179.48,0.718,135.1
2021-08-18,Apple,181.81,1.3,73.3
2021-08-19,Apple,180.77,-0.577,69.5
2021-08-20,Apple,182.11,0.742,79.4
2021-08-23,Apple,184.0,1.04,70.9
2021-08-24,Apple,181.77,-1.214,104.0
2021-08-25,Apple,180.38,-0.761,31.5
2021-08-26,Apple,177.78,-1.441,48.4
2021-08-27,Apple,177.72,-0.038,48.0
2021-08-30,Apple,179.05,0.751,108.5
2021-08-31,Apple,181.53,1.383,131.3
2021-09-01,Apple,181.94,0.229,76.9
2021-09-02,Apple,184.64,1.481,74.9
2021-09-03,Apple,182.91,-0.935,82.1
2021-09-06,Apple,180.73,-1.193,114.9
2021-09-07,Apple,180.94,0.116,52.2
2021-09-08,Apple,181.78,0.466,87.2
2021-09-09,Apple,182.02,0.13,109.3
2021-09-10,Apple,179.31,-1.489,95.0
2021-09-13,Apple,179.45,0.08,85.7
2021-09-14,Apple,177.85,-0.89,110.0
2021-09-15,Apple,179.07,0.686,1.1
2021-09-16,Apple,179.86,0.44,100.3
2021-09-17,Apple,178.77,-0.606,60.4
2021-09-20,Apple,178.29,-0.269,25.1
2021-09-21,Apple,177.04,-0.704,95.3
2021-09-22,Apple,177.19,0.089,121.2
2021-09-23,Apple,178.8,0.905,75.9
2021-09-24,Apple,177.63,-0.651,108.6
2021-09-27,Apple,178.59,0.539,128.4
2021-09-28,Apple,178.07,-0.291,119.4
2021-09-29,Apple,177.18,-0.502,129.2
2021-09-30,Apple,177.25,0.044,102.3
2021-10-01,Apple,176.02,-0.698,82.3
2021-10-04,Apple,175.46,-0.316,31.9
2021-10-05,Apple,174.01,-0.829,72.6
2021-10-06,Apple,176.98,1.71,54.7
2021-10-07,Apple,177.25,0.151,145.1
2021-10-08,Apple,176.47,-0.437,74.7
2021-10-11,Apple,176.99,0.292,83.7
2021-10-12,Apple,177.04,0.029,96.5
2021-10-13,Apple,176.94,-0.059,81.3
2021-10-14,Apple,178.02,0.61,130.9
2021-10-15,Apple,179.31,0.724,61.3
2021-10-18,Apple,178.75,-0.309,85.8
2021-10-19,Apple,178.13,-0.346,57.7
2021-10-20,Apple,177.94,-0.107,40.4
2021-10-21,Apple,174.89,-1.715,61.6
2021-10-22,Apple,172.97,-1.095,78.9
2021-10-25,Apple,175.07,1.211,67.1
2021-10-26,Apple,177.58,1.435,59.2
2021-10-27,Apple,177.42,-0.091,37.8
2021-10-28,Apple,178.43,0.57,77.5
2021-10-29,Apple,179.07,0.356,34.9
2021-11-01,Apple,183.72,2.602,102.8
2021-11-02,Apple,185.57,1.005,82.5
2021-11-03,Apple,185.57,0.002,36.3
2021-11-04,Apple,184.35,-0.659,70.7
2021-11-05,Apple,182.18,-1.176,57.4
2021-11-08,Apple,182.67,0.265,89.6
2021-11-09,Apple,181.75,-0.503,120.2
2021-11-10,Apple,179.87,-1.032,23.7
2021-11-11,Apple,179.12,-0.417,83.5
2021-11-12,Apple,177.76,-0.763,75.2
2021-11-15,Apple,180.35,1.459,100.1
2021-11-16,Apple,181.8,0.807,86.4
2021-11-17,Apple,181.97,0.091,57.4
2021-11-18,Apple,184.31,1.289,70.4
2021-11-19,Apple,184.61,0.159,56.1
2021-11-22,Apple,183.52,-0.591,112.3
2021-11-23,Apple,185.94,1.323,80.6
2021-11-24,Apple,186.92,0.528,137.0
2021-11-25,Apple,185.56,-0.732,78.2
2021-11-26,Apple,185.45,-0.058,58.7
2021-11-29,Apple,184.33,-0.605,34.6
2021-11-30,Apple,182.47,-1.007,25.9
2021-12-01,Apple,184.0,0.838,32.5
2021-12-02,Apple,187.01,1.634,88.0
2021-12-03,Apple,185.1,-1.021,95.3
2021-12-06,Apple,186.11,0.545,32.6
2021-12-07,Apple,185.31,-0.427,106.9
2021-12-08,Apple,184.76,-0.297,65.5
2021-12-09,Apple,184.06,-0.381,84.4
2021-12-10,Apple,182.96,-0.597,128.4
2021-12-13,Apple,183.2,0.131,106.9
2021-12-14,Apple,182.15,-0.571,71.9
2021-12-15,Apple,182.71,0.309,53.3
2021-12-16,Apple,182.81,0.052,15.4
2021-12-17,Apple,182.63,-0.099,58.4
2021-12-20,Apple,181.47,-0.632,73.7
2021-12-21,Apple,180.8,-0.369,50.4
2021-12-22,Apple,182.06,0.699,76.1
2021-12-23,Apple,182.96,0.494,82.3
2021-12-24,Apple,181.71,-0.688,73.3
2021-12-27,Apple,182.02,0.172,60.5
2021-12-28,Apple,183.28,0.696,85.1
2021-12-29,Apple,181.02,-1.236,93.3
2021-12-30,Apple,181.98,0.529,47.3
2021-12-31,Apple,181.18,-0.436,122.3
2022-01-03,Apple,182.18,0.551,77.0
2022-01-04,Apple,181.24,-0.517,80.6
2022-01-05,Apple,178.81,-1.342,101.2
2022-01-06,Apple,176.66,-1.203,87.0
2022-01-07,Apple,176.89,0.13,108.6
2022-01-10,Apple,177.41,0.299,88.6
2022-01-11,Apple,176.29,-0.632,61.6
2022-01-12,Apple,177.35,0.601,90.8
2022-01-13,Apple,175.16,-1.234,45.7
2022-01-14,Apple,175.22,0.033,83.3
2022-01-17,Apple,173.68,-0.881,79.0
2022-01-18,Apple,172.92,-0.438,73.8
2022-01-19,Apple,173.12,0.118,76.1
2022-01-20,Apple,172.07,-0.608,23.5
2022-01-21,Apple,171.67,-0.231,63.5
2022-01-24,Apple,173.19,0.882,82.8
2022-01-25,Apple,172.51,-0.39,84.8
2022-01-26,Apple,173.79,0.739,49.2
2022-01-27,Apple,172.33,-0.835,118.0
2022-01-28,Apple,173.17,0.487,54.0
2022-01-31,Apple,175.28,1.219,109.1
2022-02-01,Apple,171.95,-1.904,92.8
2022-02-02,Apple,170.94,-0.585,60.6
2022-02-03,Apple,171.81,0.51,133.3
2022-02-04,Apple,171.61,-0.119,44.2
2022-02-07,Apple,172.19,0.336,107.6
2022-02-08,Apple,171.41,-0.448,110.0
2022-02-09,Apple,171.58,0.099,59.9
2022-02-10,Apple,171.41,-0.099,121.8
2022-02-11,Apple,173.06,0.959,72.5
2022-02-14,Apple,173.44,0.219,88.7
2022-02-15,Apple,173.92,0.28,87.8
2022-02-16,Apple,173.36,-0.325,76.0
2022-02-17,Apple,172.68,-0.39,104.3
2022-02-18,Apple,172.07,-0.352,103.8
2022-02-21,Apple,172.59,0.303,27.5
2022-02-22,Apple,171.98,-0.355,119.1
2022-02-23,Apple,172.34,0.207,30.1
2022-02-24,Apple,175.17,1.642,111.0
2022-02-25,Apple,176.32,0.66,113.8
2022-02-28,Apple,175.78,-0.306,47.3
2022-03-01,Apple,177.39,0.913,67.7
2022-03-02,Apple,176.7,-0.386,46.8
2022-03-03,Apple,173.73,-1.683,73.6
2022-03-04,Apple,172.2,-0.877,70.8
2022-03-07,Apple,169.51,-1.567,103.4
2022-03-08,Apple,168.88,-0.371,119.3
2022-03-09,Apple,168.73,-0.084,121.9
2022-03-10,Apple,170.83,1.241,63.1
2022-03-11,Apple,171.08,0.146,73.7
2022-03-14,Apple,170.57,-0.3,29.5
2022-03-15,Apple,171.47,0.531,55.8
2022-03-16,Apple,168.22,-1.894,108.9
2022-03-17,Apple,168.28,0.036,128.5
2022-03-18,Apple,169.05,0.455,43.0
2022-03-21,Apple,166.77,-1.346,62.2
2022-03-22,Apple,168.0,0.735,79.2
2022-03-23,Apple,168.13,0.078,88.4
2022-03-24,Apple,167.23,-0.534,55.7
2022-03-25,Apple,167.72,0.292,92.7
2022-03-28,Apple,170.41,1.604,65.8
2022-03-29,Apple,170.26,-0.091,79.6
2022-03-30,Apple,170.17,-0.05,96.4
2022-03-31,Apple,169.11,-0.626,80.2
2022-04-01,Apple,167.5,-0.948,66.9
2022-04-04,Apple,168.14,0.38,76.7
2022-04-05,Apple,166.5,-0.977,77.3
2022-04-06,Apple,166.08,-0.251,68.9
2022-04-07,Apple,164.92,-0.7,72.2
2022-04-08,Apple,165.0,0.052,128.0
